doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
ktx-gioi-thieu-chung,data/ky-tuc-xa/ktx-gioi-thieu-chung.md,Gioi thieu he thong ky tuc xa,https://ktx.vnuhcm.edu.vn,2026-09-19,not-stated,team-authored-from-public-portals
ktx-dang-ky-phong-sinh-vien,data/ky-tuc-xa/ktx-dang-ky-phong-sinh-vien.md,Dang ky phong o ky tuc xa cho sinh vien,https://sv.ktxhcm.edu.vn,2026-09-19,not-stated,team-authored-from-public-portals
ktx-muc-phi-sinh-vien,data/ky-tuc-xa/ktx-muc-phi-sinh-vien.md,Muc phi phong o ky tuc xa cho sinh vien,https://ktx.vnuhcm.edu.vn,2026-09-19,not-stated,team-authored-from-public-portals
ktx-noi-quy-sinh-vien,data/ky-tuc-xa/ktx-noi-quy-sinh-vien.md,Noi quy ky tuc xa cho sinh vien,https://huongdan.ktxhcm.edu.vn,2026-09-19,not-stated,team-authored-from-public-portals
ktx-quy-dinh-can-bo-truc,data/ky-tuc-xa/ktx-quy-dinh-can-bo-truc.md,Quy dinh truc va quan ly doi voi can bo ky tuc xa,https://ktx.vnuhcm.edu.vn,2026-09-19,not-stated,team-authored-from-public-portals
ktx-thu-tuc-giay-to,data/ky-tuc-xa/ktx-thu-tuc-giay-to.md,Thu tuc giay to nhan va tra phong ky tuc xa,https://huongdan.ktxhcm.edu.vn,2026-09-19,not-stated,team-authored-from-public-portals
ktx-bieu-phi-cu-2023,data/ky-tuc-xa/ktx-bieu-phi-cu-2023.md,Bieu phi phong o cu ap dung tu 2023,https://ktx.vnuhcm.edu.vn,2026-09-19,2023-08-01,team-authored-synthetic-stress
ktx-noi-quy-hust,data/ky-tuc-xa/ktx-noi-quy-hust.md,Noi quy ky tuc xa Bach Khoa Ha Noi,https://ktx.hust.edu.vn,2026-09-19,not-stated,team-authored-synthetic-stress
ktx-bang-tin-tho,data/ky-tuc-xa/ktx-bang-tin-tho.md,Bang tin tong hop cong ky tuc xa,https://ktx.vnuhcm.edu.vn,2026-09-19,not-stated,team-authored-synthetic-stress
ktx-guest-house-faculty,data/ky-tuc-xa/ktx-guest-house-faculty.md,Guest house policy for visiting lecturers,https://ktx.hust.edu.vn,2026-09-19,not-stated,team-authored-synthetic-stress
